Username,Week,Anger,Joy,Surprise,Fear,Disgust,Sadness,Trust,Anticipation
narendramodi,1,0,45,2,4,2,1,22,1
narendramodi,2,0,25,1,3,0,1,7,0
narendramodi,3,0,27,3,2,0,0,6,1
narendramodi,4,0,29,2,4,0,0,9,2
narendramodi,5,0,19,0,1,0,0,9,0
narendramodi,6,0,20,2,6,1,1,9,3
narendramodi,7,1,27,0,1,1,2,6,1
narendramodi,8,0,34,6,4,0,1,8,0
narendramodi,9,0,30,2,2,0,0,7,0
narendramodi,10,0,20,0,1,0,1,9,0
narendramodi,11,0,30,1,4,2,1,8,1
narendramodi,12,0,27,2,4,1,0,16,1
narendramodi,13,0,43,4,2,0,1,20,0
narendramodi,14,0,72,5,2,1,0,33,1
narendramodi,15,0,29,4,2,1,1,7,2
narendramodi,16,0,79,8,3,1,3,15,0
narendramodi,17,0,32,3,1,0,1,14,1
narendramodi,18,0,10,0,0,0,0,3,0
