Username,Week,Anger,Joy,Surprise,Fear,Disgust,Sadness,Trust,Anticipation
realDonaldTrump,1,0,0,0,0,0,0,0,0
realDonaldTrump,2,0,0,0,0,0,0,0,0
realDonaldTrump,3,0,0,0,0,0,0,0,0
realDonaldTrump,4,0,0,0,0,0,0,0,0
realDonaldTrump,5,0,0,0,0,0,0,0,0
realDonaldTrump,6,0,0,0,0,0,0,0,0
realDonaldTrump,7,0,0,0,0,0,0,0,0
realDonaldTrump,8,0,0,0,0,0,0,0,0
realDonaldTrump,9,0,0,0,0,0,0,0,0
realDonaldTrump,10,0,0,0,0,0,0,0,0
realDonaldTrump,11,4,19,3,3,3,2,17,2
realDonaldTrump,12,2,20,6,9,1,3,18,4
realDonaldTrump,13,4,28,13,5,0,2,26,1
realDonaldTrump,14,0,19,7,7,1,4,16,3
realDonaldTrump,15,1,17,5,7,1,0,28,3
realDonaldTrump,16,1,29,6,6,0,3,15,1
realDonaldTrump,17,0,10,4,3,3,1,9,2
realDonaldTrump,18,0,0,0,0,1,0,1,1
