Id,Username,Date,Tweet,Emotion,Anger,Joy,Surprise,Fear,Disgust,Sadness,Trust,Anticipation,SadnessV,SadnessA,SadnessD,SadnessCount,AnticipationV,AnticipationA,AnticipationD,AnticipationCount,DisgustV,DisgustA,DisgustD,DisgustCount,SurpriseV,SurpriseA,SurpriseD,SupriseCount,AngerV,AngerA,AngerD,AngerCount,JoyV,JoyA,JoyD,JoyCount,FearV,FearA,FearD,FearCount,TrustV,TrustA,TrustD,TrustCount
17,BarackObama,1-Jun-18,This National Gun Violence Awareness Day show your commitment to keeping our kids safe from gun violence. Then for everyone we ve lost take action to change our leadership and our laws until they reflect that commitment - no matter how long it takes.,Trust,0.067683376,0.09895581,0.016470166,0.121719755,0.044387735,0.155522704,0.490060002,0.005200455,0.2975,0.2445,0.5715,2,0.541,0.543,0.353,1,0,0,0,0,0,0,0,0,0.147,0.713,0.92,1,0.651333333,0.545666667,0.376833333,6,0.49,0.597,0.612333333,3,0.684,0.638888889,0.496555556,9
16,BarackObama,8-Jun-18,Low plastic stool cheap but delicious noodles cold Hanoi beer. This is how I ll remember Tony. He taught us about food but more importantly about its ability to bring us together. To make us a little less afraid of the unknown. We ll miss him.,Trust,0.00795093,0.201589689,0.000244727,0.224112779,0.00023749,0.162362471,0.402001828,0.0015001,0.6745,0.431,0.456,2,0,0,0,0,0,0,0,0,0.5345,0.3465,0.29,2,0,0,0,0,0.64025,0.409375,0.3805,8,0.1375,0.18,0.5075,2,0.64,0.425,0.350625,8
15,BarackObama,12-Jun-18,Congratulations to the  ! This  fan knows what it s like to lift that cup and I m happy for all the Caps fans who cheer so hard for their team and for a team that celebrates so hard with its fans.,Joy,0.089379713,0.753384471,0.021355869,0.01076294,0.01020109,0.011310346,0.100451596,0.00315395,0,0,0,0,0.969,0.8085,0.7595,2,0,0,0,0,0.757333333,0.507333333,0.434666667,3,0,0,0,0,0.8076,0.5722,0.5266,5,0,0,0,0,0.720875,0.576375,0.519375,8
14,BarackObama,13-Jul-18,This week I m traveling to Africa for the first time since I left office a continent of wonderful diversity thriving culture and remarkable stories. As I prepare for this trip I wanted to share a list of books that I d recommend for summer reading:,Joy,0.016482195,0.672581553,0.151703447,0.044473372,0.003749642,0.005717785,0.066412538,0.038879436,0.812,0.55,0.373,1,0.721,0.634,0.47475,4,0,0,0,0,0.908666667,0.696,0.664,3,0,0,0,0,0.678230769,0.600692308,0.416461538,13,0,0,0,0,0.7015,0.6292,0.4426,10
13,BarackObama,18-Jul-18,Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just.,Trust,0.012251632,0.438444167,0.024902206,0.028583102,0.019699594,0.013841407,0.458984077,0.00329383,0,0,0,0,0.8395,0.553,0.314,2,0,0,0,0,0.7178,0.5672,0.3684,5,0,0,0,0,0.7325,0.626,0.397666667,6,0.63,0.459,0.422,2,0.659,0.520166667,0.321333333,6
11,BarackObama,1-Aug-18,I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes.,Trust,0.028080966,0.220879689,0.009324874,0.154347107,0.00482065,0.031380463,0.548306584,0.002859662,0.698,0.693,0.394,1,0.938,0.833,0.745,1,0,0,0,0,0.622,0.75,0.394,1,0,0,0,0,0.760571429,0.691,0.405714286,7,0.591666667,0.495333333,0.465,3,0.69525,0.695166667,0.457666667,12
12,BarackObama,1-Aug-18,Today I m proud to endorse such a wide and impressive array of Democratic candidates leaders as diverse patriotic and big-hearted as the America they re running to represent:,Joy,0.016688881,0.818715453,0.027016539,0.047955327,0.002545162,0.011487505,0.074989468,0.000601649,0,0,0,0,0.906,0.873,0.7,1,0,0,0,0,0.723,0.7025,0.4105,2,0,0,0,0,0.742666667,0.595666667,0.65,3,0.875,0.933,0.509,1,0.745,0.7246,0.5486,5
10,BarackObama,6-Aug-18,Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better.,Trust,0.052629009,0.089775294,0.034790065,0.123791412,0.013579847,0.005987868,0.664774537,0.014671943,0,0,0,0,0.385,0.558,0.48,1,0,0,0,0,0.678,0.636,0.430666667,3,0,0,0,0,0.7446,0.7674,0.5592,5,0.662,0.546333333,0.553333333,3,0.696181818,0.633727273,0.485909091,11
9,BarackObama,16-Aug-18,Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace.,Joy,0.004149903,0.925199389,0.000840674,0.009677636,0.000407189,0.017923042,0.041684028,0.000118145,0.41125,0.54075,0.58775,4,0.643,0.545,0.716,1,0,0,0,0,0.5795,0.3985,0.2925,2,0.102,0.418,0.602,1,0.693125,0.637875,0.42575,8,0.236,0.447,0.57,3,0.662,0.664666667,0.414,6
8,BarackObama,25-Aug-18,Our statement on the passing of Senator John McCain:,Joy,0.002102578,0.281954497,0.25056994,0.176126823,0.004061159,0.019979091,0.17531012,0.089895792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458,0.509,0.298,1,0.458,0.509,0.298,1,0.688,0.825,0.608,1
7,BarackObama,26-Aug-18,Congratulations to Hawaii for winning the Little League World Series! You make America very proud.,Joy,0.004507888,0.749833345,0.058717653,0.005139438,0.000875269,0.011157901,0.12117663,0.048591882,0.955,0.972,0.712,1,0.955,0.972,0.712,1,0.955,0.972,0.712,1,0.8195,0.726,0.566,2,0,0,0,0,0.5085,0.56,0.6165,2,0.062,0.148,0.521,1,0.567,0.533333333,0.551,3
