username,date,text ,sentimentvalue,catergory
BarackObama,9/29/2018 9:29,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work. ,0.127083333,positive
BarackObama,9/25/2018 13:49,The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,0.266666667,positive
BarackObama,9/14/2018 9:20,The first class of Obama Fellows is full of leaders like Keith hardworking innovative and dedicated to partnering with their communities to drive transformational change. ,0.366666667,positive
BarackObama,9/11/2018 6:52,We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,0.375,positive
BarackObama,9/7/2018 8:08,Today I m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: ,0.05,positive
BarackObama,8/29/2018 12:54,Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,0.295,positive
BarackObama,8/26/2018 14:40,Congratulations to Hawaii for winning the Little League World Series! You make America very proud. ,0.421875,positive
BarackObama,8/25/2018 18:09,Our statement on the passing of Senator John McCain: ,0,neutral
BarackObama,8/16/2018 9:31,Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,0.2,positive
BarackObama,8/6/2018 7:53,Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,0.125,positive
BarackObama,8/1/2018 9:20,I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,0.416666667,positive
BarackObama,8/1/2018 9:20,Today I m proud to endorse such a wide and impressive array of Democratic candidates leaders as diverse patriotic and big-hearted as the America they re running to represent: ,0.425,positive
BarackObama,7/18/2018 9:19,Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just. ,0.35,positive
BarackObama,7/13/2018 6:42,This week I m traveling to Africa for the first time since I left office a continent of wonderful diversity thriving culture and remarkable stories. As I prepare for this trip I wanted to share a list of books that I d recommend for summer reading: ,0.5,positive
BarackObama,6/12/2018 8:09,Congratulations to the  ! This  fan knows what it s like to lift that cup and I m happy for all the Caps fans who cheer so hard for their team and for a team that celebrates so hard with its fans. ,0.072222222,positive
BarackObama,6/8/2018 9:01,Low plastic stool cheap but delicious noodles cold Hanoi beer. This is how I ll remember Tony. He taught us about food but more importantly about its ability to bring us together. To make us a little less afraid of the unknown. We ll miss him. ,0.064583333,positive
BarackObama,6/1/2018 8:33,This National Gun Violence Awareness Day show your commitment to keeping our kids safe from gun violence. Then for everyone we ve lost take action to change our leadership and our laws until they reflect that commitment - no matter how long it takes. ,0.183333333,positive
katyperry,9/29/2018 14:29,fail ,-0.5,negative
katyperry,9/29/2018 1:05,Nothing evil about this! Head to  for The Geli  Greece ,-1,negative
katyperry,9/29/2018 0:58, for #montecarlogalafortheglobalocean P.S. big congratulations orlandobloom on your award and continuing to shine your spotlight on the environmental and humanitarian needs ,0,neutral
katyperry,9/24/2018 13:56,TODAY is National Voter Registration Day!!! Need to register to vote? Check your voter status? Find local volunteer opportunities or sign up to get reminders for voting/absentee ballot ,0,neutral
katyperry,9/22/2018 8:55,You will alway have you... and me darling  ,0,neutral
katyperry,9/17/2018 15:51,At that my friends is the cherry on top of a wonderful era. I see you and I love you  Del Mar ,0.666666667,positive
katyperry,9/17/2018 15:45,KAABOO   Del Mar ,0,neutral
katyperry,9/17/2018 15:44,KAABOO   Del Mar ,0,neutral
katyperry,9/17/2018 15:39,KAABOO   Del Mar ,0,neutral
katyperry,9/17/2018 15:36,KAABOO   Del Mar ,0,neutral
katyperry,9/16/2018 14:43,Omw kaaboodelmar Meet me at Sunset Cliffs 7:30pm   Del Mar ,0,neutral
katyperry,9/15/2018 21:14,PEEK-KAABOO See you soon San Diego... link in bio   Diego California ,0,neutral
