username,date,text,sentimentvalue,catergory,
realDonaldTrump,6/1/2018 14:40,Today  it was my great honor to be with the brave men and women of the United States Coast Guard! pic.twitter.com/RAyPbOGXuZ,0.9,positive,
realDonaldTrump,6/1/2018 6:18,Canada has treated our Agricultural business and Farmers very poorly for a very long period of time. Highly restrictive on Trade! They must open their markets and take down their trade barriers! They report a really high surplus on trade with us. Do Timber & Lumber in U.S.?,-0.069907407,negative,
realDonaldTrump,6/1/2018 4:21,Looking forward to seeing the employment numbers at 8:30 this morning.,0,neutral,
realDonaldTrump,6/1/2018 4:15,Why arenâ€™t they firing no talent Samantha Bee for the horrible language used on her low ratings show? A total double standard but thatâ€™s O.K.  we are Winning  and will be doing so for a long time to come!,-0.080357143,negative,
realDonaldTrump,6/1/2018 4:05,A.P. has just reported that the Russian Hoax Investigation has now cost our government over $17 million  and going up fast. No Collusion  except by the Democrats!,0.125,positive,
realDonaldTrump,6/2/2018 14:23,When youâ€™re almost 800 Billion Dollars a year down on Trade  you canâ€™t lose a Trade War! The U.S. has been ripped off by other countries for years on Trade  time to get smart!,-0.017195767,negative,
realDonaldTrump,6/2/2018 13:57,Why is it that the Wall Street Journal  though well meaning  never mentions the unfairness of the Tariffs routinely charged against the U.S. by other countries  or the many Billions of Dollars that the Tariffs we are now charging are  and will be  pouring into U.S. coffers?,0.1875,positive,
realDonaldTrump,6/2/2018 10:51,The United States must  at long last  be treated fairly on Trade. If we charge a country ZERO to sell their goods  and they charge us 25  50 or even 100 percent to sell ours  it is UNFAIR and can no longer be tolerated. That is not Free or Fair Trade  it is Stupid Trade!,-0.05,negative,
realDonaldTrump,6/2/2018 10:43,There was No Collusion with Russia (except by the Democrats). When will this very expensive Witch Hunt Hoax ever end? So bad for our Country. Is the Special Counsel/Justice Department leaking my lawyers letters to the Fake News Media? Should be looking at Dems corruption instead?,-0.373214286,negative,
realDonaldTrump,6/2/2018 9:46,Real @FoxNews is doing great  Fake News CNN is dead! https:// twitter.com/robbystarbuck/ status/1001949868460593152 â€¦,0.0625,positive,
realDonaldTrump,6/2/2018 9:35,Very surprised that China would be doing this? https:// twitter.com/nytimes/status /1002760314734170113 â€¦,0.13,positive,
